ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,1.7,Ja'Marr Chase,WR,CIN,341,0.9,1,3,10
1.02,2.2,Saquon Barkley,RB,PHI,243,0.9,1,4,9
1.02,2.2,Bijan Robinson,RB,ATL,272,0.9,1,4,5
1.04,4.5,Justin Jefferson,WR,MIN,578,1.1,1,8,6
1.05,4.6,Jahmyr Gibbs,RB,DET,745,1.1,1,9,8
1.06,5.6,CeeDee Lamb,WR,DAL,366,1.4,2,10,10
1.07,7.4,Puka Nacua,WR,LAR,171,1.3,4,12,8
1.08,8.3,Malik Nabers,WR,NYG,313,1.6,4,12,14
1.09,8.8,Christian McCaffrey,RB,SF,366,2.1,3,14,14
1.09,9.3,De'Von Achane,RB,MIA,204,2.6,4,18,12
1.10,9.9,Derrick Henry,RB,BAL,531,2.7,3,16,7
1.11,10.9,Ashton Jeanty,RB,LV,586,3.5,1,19,8
1.12,11.5,Nico Collins,WR,HOU,286,2.5,5,22,6
2.01,12.6,Amon-Ra St. Brown,WR,DET,571,2.5,6,19,8
2.01,12.7,Lamar Jackson,QB,BAL,428,6.9,1,23,7
2.02,14.2,Brian Thomas Jr.,WR,JAX,307,4.6,2,21,8
2.04,15.6,Josh Jacobs,RB,GB,279,2.3,10,22,5
2.05,16.9,Bucky Irving,RB,TB,288,2.5,10,25,9
2.07,19.1,Drake London,WR,ATL,547,2.8,11,28,5
2.07,19.3,A.J. Brown,WR,PHI,517,2.8,11,30,9
2.08,19.9,Jonathan Taylor,RB,IND,448,3.7,10,31,11
2.09,21.1,Kyren Williams,RB,LAR,345,3.1,13,29,8
2.11,22.8,Ladd McConkey,WR,LAC,358,3.3,14,31,12
2.11,22.9,Josh Allen,QB,BUF,583,4.6,10,34,7
2.11,23.1,Tee Higgins,WR,CIN,85,3.5,13,40,10
2.12,24.3,Alvin Kamara,RB,NO,311,4.0,14,43,11
3.01,25.0,Davante Adams,WR,LAR,168,3.4,16,32,8
3.02,26.4,Joe Burrow,QB,CIN,204,3.8,16,36,10
3.03,26.6,Tyreek Hill,WR,MIA,564,5.6,11,44,12
3.05,28.5,Chase Brown,RB,CIN,737,4.1,17,42,10
3.05,28.6,Brock Bowers,TE,LV,903,4.7,16,41,8
3.05,29.3,Jayden Daniels,QB,WAS,188,4.5,17,39,12
3.06,29.9,James Cook,RB,BUF,395,4.4,18,43,7
3.07,31.2,Terry McLaurin,WR,WAS,460,5.8,20,45,12
3.08,32.3,Trey McBride,TE,ARI,348,6.3,15,43,8
3.10,33.6,Breece Hall,RB,NYJ,287,4.7,21,44,9
3.11,34.8,Rashee Rice,WR,KC,401,5.1,21,48,10
3.12,36.5,Mike Evans,WR,TB,402,4.6,25,51,9
4.03,38.8,James Conner,RB,ARI,174,4.7,28,52,8
4.04,39.8,Jaxon Smith-Njigba,WR,SEA,385,5.0,26,55,8
4.04,39.9,Chuba Hubbard,RB,CAR,255,4.5,28,49,14
4.04,39.9,Jalen Hurts,QB,PHI,470,5.8,24,56,9
4.06,41.9,Joe Mixon,RB,HOU,327,4.7,29,56,6
4.07,43.1,Kenneth Walker III,RB,SEA,506,4.1,32,56,8
4.07,43.4,Marvin Harrison Jr.,WR,ARI,686,5.4,29,65,8
4.08,44.3,DJ Moore,WR,CHI,124,5.5,30,56,5
4.08,44.4,DK Metcalf,WR,PIT,457,5.9,28,57,5
4.09,44.9,George Kittle,TE,SF,426,6.1,29,59,14
4.10,46.0,Garrett Wilson,WR,NYJ,734,5.7,31,64,9
4.11,47.4,Baker Mayfield,QB,TB,203,6.5,30,62,9
5.03,50.7,Patrick Mahomes,QB,KC,251,6.6,33,63,10
5.03,51.1,DeVonta Smith,WR,PHI,224,4.7,38,65,9
5.03,51.4,Xavier Worthy,WR,KC,186,5.0,38,69,10
5.04,51.7,Aaron Jones,RB,MIN,366,5.1,38,63,6
5.05,52.5,Omarion Hampton,RB,LAC,881,5.4,38,71,12
5.05,52.7,Courtland Sutton,WR,DEN,291,4.0,42,65,12
5.08,56.3,Chris Godwin,WR,TB,227,6.0,45,76,9
5.09,56.6,David Montgomery,RB,DET,362,5.1,43,72,8
5.10,58.0,D'Andre Swift,RB,CHI,311,5.5,43,70,5
5.10,58.1,Zay Flowers,WR,BAL,368,5.8,43,78,7
6.01,61.1,Jerry Jeudy,WR,CLE,225,7.2,49,87,9
6.02,62.5,Tony Pollard,RB,TEN,160,4.1,51,74,10
6.03,63.0,RJ Harvey,RB,DEN,558,6.4,46,78,12
6.04,63.7,Travis Kelce,TE,KC,311,8.8,40,88,10
6.04,63.8,George Pickens,WR,DAL,379,6.7,46,84,10
6.05,65.4,Jakobi Meyers,WR,LV,146,6.9,52,92,8
6.06,65.6,Calvin Ridley,WR,TEN,393,7.7,48,85,10
6.06,66.0,TreVeyon Henderson,RB,NE,403,7.5,46,84,14
6.07,66.6,Sam LaPorta,TE,DET,324,9.5,41,89,8
6.08,68.1,Quinshon Judkins,RB,CLE,355,6.2,51,84,9
6.09,69.1,Travis Hunter,WR,JAX,407,7.7,49,91,8
6.10,69.6,Bo Nix,QB,DEN,270,10.9,41,97,12
6.11,71.0,Jordan Addison,WR,MIN,159,7.1,55,91,6
7.01,72.7,Jauan Jennings,WR,SF,300,8.5,50,92,14
7.01,73.3,Jameson Williams,WR,DET,548,8.5,51,94,8
7.02,74.3,Tetairoa McMillan,WR,CAR,645,7.5,54,96,14
7.02,74.4,Jaylen Waddle,WR,MIA,303,8.1,53,92,12
7.04,76.0,Nate Adkins,TE,DEN,1,0.0,76,76,12
7.05,76.7,Kaleb Johnson,RB,PIT,330,6.8,59,92,5
7.05,76.7,David Njoku,TE,CLE,50,8.9,53,94,9
7.05,77.1,Jaylen Warren,RB,PIT,134,7.7,57,94,5
7.06,77.7,Brock Purdy,QB,SF,69,10.2,51,98,14
7.06,78.3,Brian Robinson Jr.,RB,WAS,418,8.1,57,96,12
7.07,78.6,Khalil Shakir,WR,BUF,327,9.8,53,97,7
7.07,79.2,Deebo Samuel Sr.,WR,WAS,409,8.7,56,96,12
7.08,79.8,Isiah Pacheco,RB,KC,571,7.8,59,107,10
7.08,80.5,T.J. Hockenson,TE,MIN,109,9.0,57,102,6
7.09,81.0,Jared Goff,QB,DET,186,9.2,57,103,8
8.01,84.7,Kyler Murray,QB,ARI,199,9.4,60,102,8
8.01,85.0,David Martin-Robinson,TE,TEN,1,0.0,85,85,10
8.01,85.4,Chris Olave,WR,NO,316,7.5,66,98,11
8.02,85.8,Tyrone Tracy Jr.,RB,NYG,270,8.7,63,108,14
8.02,85.9,Dak Prescott,QB,DAL,323,10.4,58,109,10
8.03,86.6,Rome Odunze,WR,CHI,257,6.9,68,101,5
8.07,90.8,Cooper Kupp,WR,SEA,488,8.6,68,118,8
8.07,91.2,Mark Andrews,TE,BAL,273,14.0,54,134,7
8.07,91.2,Jayden Reed,WR,GB,145,6.4,74,102,5
8.09,93.3,Javonte Williams,RB,DAL,432,9.1,69,116,10
8.12,96.3,Dallas Defense,DEF,DAL,49,5.8,83,106,10
9.01,97.3,J.J. McCarthy,QB,MIN,212,9.4,74,122,6
9.02,97.6,Darnell Mooney,WR,ATL,74,6.3,84,118,5
9.03,98.7,Stefon Diggs,WR,NE,417,7.3,79,116,14
9.03,98.8,Travis Etienne Jr.,RB,JAX,411,11.4,69,143,8
9.04,99.5,Michael Pittman Jr.,WR,IND,150,5.9,84,113,11
9.05,101.2,Josh Downs,WR,IND,137,7.0,82,118,11
9.07,102.8,Caleb Williams,QB,CHI,255,10.3,76,124,5
9.08,103.6,Matthew Golden,WR,GB,142,7.5,84,121,5
9.08,103.7,Jonnu Smith,TE,PIT,88,32.2,49,176,5
9.08,104.0,Evan Engram,TE,DEN,441,16.5,62,150,12
9.09,105.1,Philadelphia Defense,DEF,PHI,213,9.6,79,132,9
9.09,105.3,Jordan Love,QB,GB,260,10.7,77,135,5
9.09,105.4,NY Giants Defense,DEF,NYG,32,6.9,88,116,14
9.10,106.1,Rashid Shaheed,WR,NO,77,8.5,86,125,11
9.10,106.3,Austin Ekeler,RB,WAS,94,11.8,84,135,12
9.12,107.6,Justin Herbert,QB,LAC,273,12.0,76,146,12
10.01,108.9,Keon Coleman,WR,BUF,208,8.2,87,127,7
10.02,109.6,Ricky Pearsall,WR,SF,325,9.2,85,138,14
10.02,110.2,Denver Defense,DEF,DEN,199,9.2,86,153,12
10.02,110.5,Terrance Ferguson,TE,LAR,2,6.4,106,115,8
10.03,110.9,Justin Fields,QB,NYJ,249,11.4,81,146,9
10.03,111.3,Najee Harris,RB,LAC,513,13.0,77,146,12
10.05,113.4,Cam Skattebo,RB,NYG,351,15.1,74,150,14
10.09,116.9,Rhamondre Stevenson,RB,NE,307,13.6,81,145,14
10.09,117.0,Tyler Conklin,TE,LAC,1,0.0,117,117,12
10.10,117.6,Jake Ferguson,TE,DAL,190,17.3,75,159,10
10.10,118.2,Pittsburgh Defense,DEF,PIT,92,12.4,88,180,5
10.12,119.8,Adam Thielen,WR,CAR,46,10.9,97,144,14
10.12,119.9,C.J. Stroud,QB,HOU,247,13.3,85,150,6
11.01,120.6,Trevor Lawrence,QB,JAX,62,10.0,101,148,8
11.01,120.7,Baltimore Defense,DEF,BAL,151,12.8,87,167,7
11.02,121.9,Zach Charbonnet,RB,SEA,340,13.5,86,148,8
11.03,123.0,Ollie Gordon II,RB,MIA,1,0.0,123,123,12
11.03,123.3,Tyjae Spears,RB,TEN,152,15.7,82,149,10
11.03,123.4,Wan'Dale Robinson,WR,NYG,17,11.2,94,138,14
11.04,124.0,Luke Musgrave,TE,GB,1,0.0,124,124,5
11.04,124.2,Tucker Kraft,TE,GB,188,17.0,84,157,5
11.04,124.2,Drake Maye,QB,NE,128,10.4,97,150,14
11.04,124.4,Brandon Aiyuk,WR,SF,317,12.5,91,172,14
11.05,125.0,Christian Kirk,WR,HOU,107,6.8,107,142,6
11.05,125.0,Elijah Moore,WR,BUF,1,0.0,125,125,7
11.06,126.4,Dallas Goedert,TE,PHI,153,17.6,82,165,9
11.07,126.5,Marvin Mims Jr.,WR,DEN,95,12.1,95,144,12
11.07,127.0,Elijah Arroyo,TE,SEA,1,0.0,127,127,8
11.07,127.2,Buffalo Defense,DEF,BUF,82,13.3,95,168,7
11.08,128.0,Tua Tagovailoa,QB,MIA,62,11.3,98,146,12
11.08,128.1,Emeka Egbuka,WR,TB,264,22.3,70,173,9
11.10,129.8,Pat Freiermuth,TE,PIT,77,19.6,93,176,5
11.10,130.0,Rashod Bateman,WR,BAL,83,10.0,104,148,7
11.10,130.4,J.K. Dobbins,RB,LAC,265,19.5,79,179,12
11.11,130.7,Marquise Brown,WR,KC,82,14.4,93,153,10
12.01,133.2,Jordan Mason,RB,MIN,335,17.5,87,173,6
12.02,134.0,Brandon Aubrey,PK,DAL,461,18.7,85,187,10
12.02,134.2,Bhayshul Tuten,RB,JAX,38,32.7,85,189,8
12.03,134.6,Jack Bech,WR,LV,70,13.0,100,167,8
12.03,134.9,Houston Defense,DEF,HOU,118,14.8,105,180,6
12.03,135.0,Cedric Tillman,WR,CLE,43,9.1,111,148,9
12.03,135.4,Rachaad White,RB,TB,77,14.5,101,167,9
12.05,136.8,Matthew Stafford,QB,LAR,249,11.1,107,163,8
12.05,136.9,Dalton Kincaid,TE,BUF,245,20.6,83,176,7
12.06,137.6,Detroit Defense,DEF,DET,119,13.3,108,176,8
12.07,138.8,Younghoe Koo,PK,ATL,131,18.9,89,184,5
12.07,139.0,Kyle Monangai,RB,CHI,3,26.1,122,169,5
12.08,139.5,Israel Abanikanda,RB,SF,2,51.6,103,176,14
12.09,140.8,Tre Harris,WR,LAC,36,14.3,103,171,12
12.10,142.0,Donovan Peoples-Jones,WR,DET,1,0.0,142,142,8
12.10,142.3,Isaac Guerendo,RB,SF,185,21.8,85,194,14
12.10,142.5,Cameron Dicker,PK,LAC,117,15.4,110,190,12
12.11,142.8,Tyler Warren,TE,IND,320,22.4,84,181,11
12.11,143.2,Jaydon Blue,RB,DAL,192,19.7,91,180,10
12.12,143.5,Matt Gay,PK,WAS,35,21.0,98,186,12
12.12,143.9,Romeo Doubs,WR,GB,22,7.4,124,159,5
12.12,144.0,Zach Ertz,TE,WAS,70,19.5,96,180,12
12.12,144.0,Dustin Hopkins,PK,CLE,1,0.0,144,144,9
12.12,144.0,Cole Kmet,TE,CHI,1,0.0,144,144,5
12.12,144.0,Jonathan Kim,PK,CHI,1,0.0,144,144,5
12.12,144.0,Miami Defense,DEF,MIA,1,0.0,144,144,12
12.12,144.0,Joey Slye,PK,TEN,3,0.0,144,144,10
13.01,144.9,LA Rams Defense,DEF,LAR,143,14.6,106,181,8
13.01,145.2,Tampa Bay Defense,DEF,TB,13,35.6,63,175,9
13.02,146.0,Devin Neal,RB,NO,1,0.0,146,146,11
13.03,146.6,Bryce Young,QB,CAR,111,14.9,122,180,14
13.03,146.9,Tank Bigsby,RB,JAX,102,21.7,90,181,8
13.03,147.1,Colston Loveland,TE,CHI,128,27.4,87,207,5
13.04,147.8,Quentin Johnston,WR,LAC,30,9.4,128,163,12
13.04,148.0,Mike Williams,WR,LAC,4,9.0,135,154,12
13.04,148.0,Blake Grupe,PK,NO,3,15.0,133,163,11
13.04,148.0,Carson Steele,RB,KC,1,0.0,148,148,10
13.04,148.0,Mack Hollins,WR,NE,1,0.0,148,148,14
13.04,148.0,NY Jets Defense,DEF,NYJ,3,10.6,140,160,9
13.04,148.0,Jake Moody,PK,SF,1,0.0,148,148,14
13.04,148.0,Russell Wilson,QB,NYG,1,0.0,148,148,14
13.04,148.5,Isaiah Likely,TE,BAL,30,25.2,98,198,7
13.04,148.5,Geno Smith,QB,LV,38,13.6,121,180,8
13.06,150.2,Ka'imi Fairbairn,PK,HOU,57,18.6,108,191,6
13.06,150.5,Jake Bates,PK,DET,97,14.0,113,176,8
13.07,150.7,Harrison Butker,PK,KC,94,14.4,113,174,10
13.08,151.5,Cade Otton,TE,TB,10,32.0,86,181,9
13.08,151.7,Michael Penix Jr.,QB,ATL,106,19.3,101,180,5
13.08,151.9,Mike Gesicki,TE,CIN,8,21.6,117,180,10
13.08,152.0,Alec Pierce,WR,IND,1,0.0,152,152,11
13.09,152.8,Jayden Higgins,WR,HOU,81,13.4,121,173,6
13.09,153.0,Chicago Defense,DEF,CHI,87,19.0,115,209,5
13.09,153.0,Daniel Jones,QB,IND,1,0.0,153,153,11
13.09,153.0,Raheem Mostert,RB,LV,2,14.1,143,163,8
13.09,153.5,Jake Elliott,PK,PHI,47,13.5,135,186,9
13.10,153.8,Rico Dowdle,RB,DAL,8,13.6,130,172,10
13.10,153.9,San Francisco Defense,DEF,SF,204,14.8,123,186,14
13.10,154.3,Ray Davis,RB,BUF,85,20.8,100,181,7
13.10,154.3,Roschon Johnson,RB,CHI,59,15.7,113,180,5
13.10,154.4,Luther Burden III,WR,CHI,45,16.3,113,181,5
13.11,155.0,Jaylin Lane,WR,WAS,1,0.0,155,155,12
13.11,155.0,Sam Darnold,QB,SEA,23,22.9,95,179,8
13.11,155.1,Jaylen Wright,RB,MIA,13,30.4,88,204,12
13.11,155.2,Minnesota Defense,DEF,MIN,150,17.1,110,207,6
13.11,155.2,Tyler Allgeier,RB,ATL,52,15.6,114,178,5
13.11,155.3,Brandon McManus,PK,GB,15,8.1,137,164,5
13.11,155.3,Kyle Pitts,TE,ATL,30,24.1,111,198,5
13.11,155.3,Anthony Richardson Sr.,QB,IND,14,22.5,125,209,11
13.11,155.4,Green Bay Defense,DEF,GB,88,14.9,123,191,5
13.11,155.5,Justice Hill,RB,BAL,53,17.6,109,181,7
13.12,155.8,Kyle Williams,WR,NE,22,12.7,122,176,14
13.12,155.8,Tyler Bass,PK,BUF,16,21.3,108,178,7
13.12,156.2,DeAndre Hopkins,WR,BAL,18,20.2,112,181,7
14.01,156.6,Trey Benson,RB,ARI,80,22.5,98,182,8
14.01,157.0,Nick Chubb,RB,HOU,32,24.5,109,202,6
14.01,157.1,Hunter Henry,TE,NE,19,22.1,102,179,14
14.01,157.2,Joshua Palmer,WR,BUF,10,20.1,108,180,7
14.01,157.4,Xavier Legette,WR,CAR,56,11.7,126,177,14
14.02,157.8,Shedeur Sanders,QB,CLE,6,18.9,132,180,9
14.02,158.0,Michael Wilson,WR,ARI,2,2.8,156,160,8
14.04,159.5,Seattle Defense,DEF,SEA,32,13.9,133,190,8
14.04,159.7,Jason Sanders,PK,MIA,40,14.4,132,199,12
14.04,159.8,Dont'e Thornton Jr.,WR,LV,12,20.7,111,180,8
14.04,160.0,Tutu Atwell,WR,LAR,2,19.8,146,174,8
14.04,160.0,Brashard Smith,RB,KC,1,0.0,160,160,10
14.05,161.0,Tyler Loop,PK,BAL,49,14.3,136,180,7
14.05,161.0,Brenton Strange,TE,JAX,9,25.6,109,190,8
14.05,161.2,New England Defense,DEF,NE,11,18.8,128,194,14
14.05,161.2,Arizona Defense,DEF,ARI,8,11.7,147,180,8
14.06,161.6,MarShawn Lloyd,RB,GB,9,16.0,126,177,5
14.06,161.7,Will Reichard,PK,MIN,3,18.8,140,173,6
14.06,161.9,Jerome Ford,RB,CLE,19,17.0,117,180,9
14.06,162.2,Washington Defense,DEF,WAS,12,19.0,119,194,12
14.06,162.3,Cam Ward,QB,TEN,35,14.6,133,179,10
14.07,163.3,LA Chargers Defense,DEF,LAC,18,19.9,120,203,12
14.08,164.0,Samaje Perine,RB,CIN,1,0.0,164,164,10
14.08,164.0,Cleveland Defense,DEF,CLE,13,16.2,130,196,9
14.09,164.6,Kareem Hunt,RB,KC,36,20.6,115,202,10
14.09,165.0,A.J. Dillon,RB,GB,1,0.0,165,165,5
14.09,165.1,DeMario Douglas,WR,NE,17,15.6,124,180,14
14.10,165.7,Evan McPherson,PK,CIN,56,13.6,142,210,10
14.10,165.8,Calvin Austin III,WR,PIT,22,12.3,134,180,5
14.10,165.9,Kansas City Defense,DEF,KC,56,16.2,123,208,10
14.10,166.0,Chad Ryland,PK,ARI,1,0.0,166,166,8
14.11,166.8,Tyler Lockett,WR,TEN,12,16.7,133,181,10
14.12,167.8,Joshua Karty,PK,LAR,34,7.6,157,199,8
14.12,167.8,Daniel Carlson,PK,LV,15,31.2,108,210,8
14.12,168.2,Jalen McMillan,WR,TB,6,19.1,143,183,9
14.12,168.2,Braelon Allen,RB,NYJ,10,27.6,124,197,9
14.12,168.2,Wil Lutz,PK,DEN,16,18.3,141,205,12
14.12,168.5,Cam Little,PK,JAX,2,7.8,163,174,8
15.01,168.6,Kendre Miller,RB,NO,9,17.4,146,207,11
15.01,169.0,Andy Borregales,PK,NE,1,0.0,169,169,14
15.01,169.1,Chris Boswell,PK,PIT,42,15.3,129,199,5
15.01,169.4,Aaron Rodgers,QB,PIT,27,17.4,138,207,5
15.01,169.4,Blake Corum,RB,LAR,7,11.8,145,180,8
15.02,169.7,Chase McLaughlin,PK,TB,56,13.9,144,206,9
15.03,171.0,Will Shipley,RB,PHI,1,0.0,171,171,9
15.04,172.0,Dalton Schultz,TE,HOU,6,9.8,154,180,6
15.04,172.2,Diontae Johnson,WR,BAL,5,8.6,158,180,7
15.06,173.6,Darren Waller,TE,MIA,8,4.3,164,178,12
15.08,175.8,Tank Dell,WR,HOU,4,2.6,172,178,6
15.08,176.4,Zack Moss,RB,CIN,5,3.2,172,180,10
15.09,176.7,Dylan Sampson,RB,CLE,3,3.5,173,180,9
15.12,180.0,Joe Flacco,QB,CLE,1,0.0,180,180,9
15.12,180.1,Khalil Herbert,RB,IND,7,14.5,165,209,11
16.01,180.7,Chig Okonkwo,TE,TEN,3,28.0,152,208,10
16.02,182.0,Theo Johnson,TE,NYG,2,9.9,175,189,14
16.02,182.0,Darius Slayton,WR,NYG,5,14.7,159,195,14
16.04,184.0,Dyami Brown,WR,JAX,1,0.0,184,184,8
16.04,184.0,Emanuel Wilson,RB,GB,1,0.0,184,184,5
16.12,192.0,Cairo Santos,PK,CHI,2,7.1,187,197,5
16.12,192.5,Dontayvion Wicks,WR,GB,2,20.5,178,207,5
18.05,209.0,Jason Myers,PK,SEA,1,0.0,209,209,8
