name,position,team,team,ADP,proj_points
Ja'Marr Chase,WR,Cin,CIN,1.0,353.0
Bijan Robinson,RB,Atl,ATL,2.5,334.8
Justin Jefferson,WR,Min,MIN,3.0,322.0
Saquon Barkley,RB,Phi,PHI,4.0,324.4
Jahmyr Gibbs,RB,Det,DET,5.5,317.8
CeeDee Lamb,WR,Dal,DAL,5.0,314.7
Puka Nacua,WR,LAR,LAR,8.5,321.1
Christian McCaffrey,RB,SF,SF,10.5,321.6
Ashton Jeanty,RB,LV,LV,9.5,300.3
Amon-Ra St. Brown,Det,Q,DET,9.5,289.0
Malik Nabers,NYG,Q,NYG,8.5,299.8
De'Von Achane,RB,Mia,MIA,14.5,305.0
Jonathan Taylor,RB,Ind,IND,20.0,296.6
Nico Collins,WR,Hou,HOU,11.5,277.7
Derrick Henry,RB,Bal,BAL,13.5,280.9
Brian Thomas Jr.,WR,Jax,JAC,13.5,270.5
A.J. Brown,WR,Phi,PHI,17.5,275.3
Josh Jacobs,RB,GB,GB,26.0,281.8
Bucky Irving,RB,TB,TB,22.5,281.5
Brock Bowers,TE,LV,LV,18.0,257.1
Kyren Williams,RB,LAR,LAR,32.0,278.9
Drake London,WR,Atl,ATL,15.5,266.6
James Cook,RB,Buf,BUF,43.0,268.2
Tee Higgins,WR,Cin,CIN,25.0,265.0
Ladd McConkey,WR,LAC,LAC,19.0,261.8
Trey McBride,TE,Ari,ARI,26.0,259.5
Joe Mixon,Hou,Q,HOU,55.5,255.0
Tyreek Hill,Mia,Q,MIA,28.5,262.6
Josh Allen,QB,Buf,BUF,30.0,364.9
Davante Adams,WR,LAR,LAR,32.0,256.6
Chase Brown,RB,Cin,CIN,28.5,261.4
Lamar Jackson,QB,Bal,BAL,29.0,362.7
Kenneth Walker III,Sea,Q,SEA,44.5,264.4
Jayden Daniels,QB,Wsh,WAS,35.0,367.1
Terry McLaurin,WR,Wsh,WAS,33.5,247.7
Breece Hall,RB,NYJ,NYJ,33.5,233.0
Jaxon Smith-Njigba,WR,Sea,SEA,27.0,244.7
Omarion Hampton,RB,LAC,LAC,47.5,240.1
Rashee Rice,WR,KC,KC,29.5,250.8
Jalen Hurts,QB,Phi,PHI,41.0,363.6
DJ Moore,WR,Chi,CHI,41.0,237.8
Marvin Harrison Jr.,WR,Ari,ARI,32.0,240.2
Mike Evans,WR,TB,TB,36.5,238.7
Alvin Kamara,RB,NO,NO,47.5,264.7
Garrett Wilson,WR,NYJ,NYJ,25.5,240.9
George Kittle,TE,SF,SF,41.5,226.6
James Conner,RB,Ari,ARI,58.5,261.6
Chuba Hubbard,RB,Car,CAR,53.5,258.4
Xavier Worthy,WR,KC,KC,46.0,229.5
Joe Burrow,QB,Cin,CIN,46.5,328.6
RJ Harvey,RB,Den,DEN,65.5,219.2
Quinshon Judkins,RB,Cle,CLE,72.0,223.9
DK Metcalf,WR,Pit,PIT,45.5,240.1
David Montgomery,RB,Det,DET,67.5,214.1
Courtland Sutton,WR,Den,DEN,49.0,227.6
Sam LaPorta,TE,Det,DET,69.0,190.7
DeVonta Smith,WR,Phi,PHI,49.0,222.7
D'Andre Swift,RB,Chi,CHI,71.5,224.7
Zay Flowers,WR,Bal,BAL,53.0,232.2
George Pickens,WR,Dal,DAL,59.5,219.4
Jaylen Waddle,WR,Mia,MIA,58.5,225.6
Aaron Jones Sr.,RB,Min,MIN,76.0,219.7
Rome Odunze,WR,Chi,CHI,70.0,216.9
Tony Pollard,RB,Ten,TEN,76.5,219.3
T.J. Hockenson,TE,Min,MIN,86.0,183.6
Calvin Ridley,WR,Ten,TEN,66.0,230.1
Kaleb Johnson,RB,Pit,PIT,73.0,217.3
Jameson Williams,WR,Det,DET,50.5,217.6
Travis Hunter,"WR, CB",Jax,JAC,67.5,213.0
TreVeyon Henderson,RB,NE,NE,60.5,206.0
Jerry Jeudy,WR,Cle,CLE,64.5,227.6
Tetairoa McMillan,Car,Q,CAR,48.0,212.4
Travis Kelce,TE,KC,KC,87.5,171.9
Matthew Golden,WR,GB,GB,97.5,205.3
Isiah Pacheco,RB,KC,KC,83.0,208.8
Chris Olave,WR,NO,NO,67.0,205.7
Jordan Addison,WR,Min,MIN,68.5,215.6
Javonte Williams,RB,Dal,DAL,122.0,211.5
Cooper Kupp,WR,Sea,SEA,96.0,205.7
Rhamondre Stevenson,RB,NE,NE,120.5,183.9
Jaylen Warren,RB,Pit,PIT,95.5,194.9
David Njoku,TE,Cle,CLE,113.5,172.8
Jauan Jennings,SF,Q,SF,64.0,209.6
Cam Skattebo,RB,NYG,NYG,108.5,155.2
Deebo Samuel Sr.,WR,Wsh,WAS,75.0,201.6
Khalil Shakir,WR,Buf,BUF,82.0,206.6
Bo Nix,QB,Den,DEN,84.0,300.4
Mark Andrews,TE,Bal,BAL,103.0,170.9
Tyrone Tracy Jr.,RB,NYG,NYG,101.5,197.1
Stefon Diggs,NE,Q,NE,88.0,165.6
Chris Godwin,TB,Q,TB,63.0,190.8
Baker Mayfield,QB,TB,TB,75.0,309.1
Jakobi Meyers,WR,LV,LV,76.0,215.2
Austin Ekeler,RB,Wsh,WAS,152.5,172.2
Keon Coleman,WR,Buf,BUF,112.0,191.2
Brian Robinson Jr.,RB,Wsh,WAS,87.0,200.6
Ricky Pearsall,SF,Q,SF,82.0,192.8
Evan Engram,TE,Den,DEN,107.5,168.6
Travis Etienne Jr.,RB,Jax,JAC,102.0,155.3
Michael Pittman Jr.,Ind,Q,IND,101.5,183.1
Zach Charbonnet,RB,Sea,SEA,107.0,112.9
Kyler Murray,QB,Ari,ARI,88.0,306.3
Jayden Reed,WR,GB,GB,88.5,181.1
Tyjae Spears,RB,Ten,TEN,124.5,148.0
Brock Purdy,QB,SF,SF,98.5,306.9
Darnell Mooney,WR,Atl,ATL,97.5,170.5
Rachaad White,RB,TB,TB,138.5,129.5
Tank Bigsby,RB,Jax,JAC,145.0,130.4
Caleb Williams,QB,Chi,CHI,97.5,279.3
Jayden Higgins,WR,Hou,HOU,121.0,166.1
Jonnu Smith,TE,Pit,PIT,121.5,135.0
Najee Harris,LAC,Q,LAC,100.0,118.1
Bhayshul Tuten,RB,Jax,JAC,137.5,63.7
Colston Loveland,Chi,Q,CHI,143.5,155.3
Jack Bech,WR,LV,LV,171.5,148.6
Rashid Shaheed,WR,NO,NO,115.0,183.7
Emeka Egbuka,WR,TB,TB,102.0,142.8
Jaydon Blue,RB,Dal,DAL,138.0,79.4
Jordan Mason,RB,Min,MIN,105.0,118.7
Justin Herbert,QB,LAC,LAC,110.0,284.0
Tyler Allgeier,RB,Atl,ATL,160.5,97.3
Isaac Guerendo,RB,SF,SF,143.5,87.0
Justin Fields,QB,NYJ,NYJ,95.0,296.7
Xavier Legette,WR,Car,CAR,169.5,154.6
Adam Thielen,WR,Car,CAR,154.5,166.9
Trey Benson,RB,Ari,ARI,138.5,113.4
Ray Davis,RB,Buf,BUF,144.0,81.0
Dalton Kincaid,TE,Buf,BUF,138.5,147.2
Roschon Johnson,RB,Chi,CHI,171.0,103.6
Tyler Warren,TE,Ind,IND,121.5,145.7
Marvin Mims Jr.,WR,Den,DEN,133.0,149.2
Tucker Kraft,TE,GB,GB,126.0,160.5
Luther Burden III,Chi,Q,CHI,127.5,116.2
Brandon Aiyuk,SF,Q,SF,107.5,84.5
Tre Harris,WR,LAC,LAC,132.5,146.8
Kyle Williams,WR,NE,NE,150.0,127.9
Drake Maye,QB,NE,NE,113.5,273.8
Josh Downs,WR,Ind,IND,86.0,163.7
Dak Prescott,QB,Dal,DAL,103.0,284.3
Cedric Tillman,WR,Cle,CLE,144.0,163.1
Dallas Goedert,TE,Phi,PHI,138.5,156.7
Kareem Hunt,RB,KC,KC,202.0,108.3
Blake Corum,RB,LAR,LAR,205.5,52.4
Wan'Dale Robinson,WR,NYG,NYG,162.0,152.0
Rashod Bateman,WR,Bal,BAL,124.0,133.6
Christian Kirk,WR,Hou,HOU,123.5,110.5
MarShawn Lloyd,RB,GB,GB,194.0,86.7
Woody Marks,RB,Hou,HOU,273.0,36.4
Pat Freiermuth,TE,Pit,PIT,175.0,133.8
J.J. McCarthy,QB,Min,MIN,120.5,281.8
C.J. Stroud,QB,Hou,HOU,120.0,272.0
Jordan Love,QB,GB,GB,116.0,261.5
Pat Bryant,WR,Den,DEN,182.5,95.6
Jaleel McLaughlin,RB,Den,DEN,274.0,15.6
Jalen McMillan,WR,TB,TB,157.5,98.3
Braelon Allen,RB,NYJ,NYJ,169.5,83.8
Anthony Richardson Sr.,Ind,Q,IND,194.5,180.7
Brenton Strange,TE,Jax,JAC,171.0,139.7
Nick Chubb,RB,Hou,HOU,183.0,92.2
Justice Hill,RB,Bal,BAL,183.0,114.2
Isaiah Likely,TE,Bal,BAL,152.0,112.7
J.K. Dobbins,RB,Den,DEN,119.0,155.4
Jake Ferguson,TE,Dal,DAL,148.0,149.0
Jared Goff,QB,Det,DET,102.5,259.9
Hunter Henry,TE,NE,NE,167.5,148.6
Chig Okonkwo,TE,Ten,TEN,187.5,144.4
Tua Tagovailoa,QB,Mia,MIA,136.5,274.2
Matthew Stafford,QB,LAR,LAR,142.5,274.6
Zach Ertz,TE,Wsh,WAS,166.5,140.6
Michael Wilson,WR,Ari,ARI,196.0,115.9
Mike Williams,LAC,Q,LAC,233.5,118.4
