name,position,ADP,proj_points
Christian McCaffrey,RB,1.4,40.3
Breece Hall,RB,2.2,212.4
Tyreek Hill,WR,2.6,177.7
CeeDee Lamb,WR,3.7,212.9
Bijan Robinson,RB,4.9,311.2
Amon-Ra St. Brown,WR,6.2,258.7
Ja'Marr Chase,WR,7.2,339.5
Justin Jefferson,WR,8.0,266.0
Jahmyr Gibbs,RB,9.4,336.9
Jonathan Taylor,RB,9.8,235.7
A.J. Brown,WR,10.9,183.4
Saquon Barkley,RB,11.3,338.8
Garrett Wilson,WR,12.1,201.4
Marvin Harrison Jr.,WR,14.5,165.5
Puka Nacua,WR,15.2,167.1
Kyren Williams,RB,15.9,255.1
Derrick Henry,RB,15.9,326.9
Travis Etienne Jr.,RB,17.6,110.7
Cooper Kupp,WR,18.9,141.5
Isiah Pacheco,RB,19.8,50.9
Davante Adams,WR,20.0,198.8
De'Von Achane,RB,21.4,260.9
Drake London,WR,21.5,230.8
Deebo Samuel Sr.,WR,23.0,128.1
Josh Jacobs,RB,23.6,275.1
Travis Kelce,TE,24.4,146.9
Josh Allen,QB,25.1,385.0
Chris Olave,WR,26.2,60.7
Rachaad White,RB,29.0,174.1
Jaylen Waddle,WR,29.1,120.6
Sam LaPorta,TE,29.4,144.6
James Cook,RB,30.3,250.7
Nico Collins,WR,32.1,176.6
Alvin Kamara,RB,32.3,231.3
Mike Evans,WR,33.5,203.4
Joe Mixon,RB,35.0,222.5
Kenneth Walker III,RB,35.6,158.2
Jalen Hurts,QB,37.3,320.1
DeVonta Smith,WR,38.3,165.4
Malik Nabers,WR,38.3,219.1
DK Metcalf,WR,40.7,158.2
Mark Andrews,TE,41.2,161.3
Stefon Diggs,WR,41.8,98.4
DJ Moore,WR,43.7,189.1
Lamar Jackson,QB,44.2,434.4
Michael Pittman Jr.,WR,45.2,131.3
James Conner,RB,47.6,230.3
Brandon Aiyuk,WR,48.1,49.9
Amari Cooper,WR,49.2,100.7
C.J. Stroud,QB,49.9,232.4
Trey McBride,TE,50.4,194.3
Tee Higgins,WR,51.8,185.6
David Montgomery,RB,54.6,203.7
Anthony Richardson Sr.,QB,55.2,174.9
Christian Kirk,WR,55.6,57.4
D'Andre Swift,RB,56.5,193.5
Zay Flowers,WR,56.8,172.5
Tank Dell,WR,57.5,114.5
Dalton Kincaid,TE,59.1,78.8
Joe Burrow,QB,59.7,381.8
George Pickens,WR,59.8,134.9
Rhamondre Stevenson,RB,62.0,159.4
Keenan Allen,WR,63.5,150.4
Raheem Mostert,RB,64.1,61.4
Rashee Rice,WR,64.2,52.9
Nick Chubb,RB,65.0,60.8
Jayden Reed,WR,65.1,169.5
George Kittle,TE,66.7,197.6
Najee Harris,RB,67.1,186.6
Zamir White,RB,67.8,26.3
