Name,Position,Team,ADP,proj_points
Ja'Marr Chase,WR,CIN,1.6,353.0
Bijan Robinson,RB,ATL,2.1,334.8
Justin Jefferson,WR,MIN,4.7,322.0
Saquon Barkley,RB,PHI,2.2,324.4
Jahmyr Gibbs,RB,DET,4.3,317.8
CeeDee Lamb,WR,DAL,5.9,314.7
Puka Nacua,WR,LAR,7.7,321.1
Christian McCaffrey,RB,SF,8.8,321.6
Ashton Jeanty,RB,LV,10.6,300.3
Amon-Ra St. Brown,WR,DET,13.4,289.0
Malik Nabers,WR,NYG,8.7,299.8
De'Von Achane,RB,MIA,8.0,305.0
Jonathan Taylor,RB,IND,18.4,296.6
Nico Collins,WR,HOU,12.1,277.7
Derrick Henry,RB,BAL,9.7,280.9
Brian Thomas Jr.,WR,JAX,15.2,270.5
A.J. Brown,WR,PHI,19.5,275.3
Josh Jacobs,RB,GB,15.0,281.8
Bucky Irving,RB,TB,16.5,281.5
Brock Bowers,TE,LV,28.6,257.1
Kyren Williams,RB,LAR,19.7,278.9
Drake London,WR,ATL,20.1,266.6
James Cook,RB,BUF,28.5,268.2
Tee Higgins,WR,CIN,23.4,265.0
Ladd McConkey,WR,LAC,23.1,261.8
Trey McBride,TE,ARI,32.2,259.5
Joe Mixon,RB,HOU,40.8,255.0
Tyreek Hill,WR,MIA,28.8,262.6
Josh Allen,QB,BUF,23.6,364.9
Davante Adams,WR,LAR,26.0,256.6
Chase Brown,RB,CIN,26.5,261.4
Lamar Jackson,QB,BAL,17.7,362.7
Kenneth Walker III,RB,SEA,40.6,264.4
Jayden Daniels,QB,WAS,31.2,367.1
Terry McLaurin,WR,WAS,36.5,247.7
Breece Hall,RB,NYJ,32.0,233.0
Jaxon Smith-Njigba,WR,SEA,41.8,244.7
Omarion Hampton,RB,LAC,51.4,240.1
Rashee Rice,WR,KC,34.7,250.8
Jalen Hurts,QB,PHI,40.7,363.6
DJ Moore,WR,CHI,46.3,237.8
Marvin Harrison Jr.,WR,ARI,43.9,240.2
Mike Evans,WR,TB,38.9,238.7
Alvin Kamara,RB,NO,23.9,264.7
Garrett Wilson,WR,NYJ,46.6,240.9
George Kittle,TE,SF,44.6,226.6
James Conner,RB,ARI,36.8,261.6
Chuba Hubbard,RB,CAR,38.0,258.4
Xavier Worthy,WR,KC,52.0,229.5
Joe Burrow,QB,CIN,26.6,328.6
RJ Harvey,RB,DEN,63.8,219.2
Quinshon Judkins,RB,CLE,67.1,223.9
DK Metcalf,WR,PIT,46.6,240.1
David Montgomery,RB,DET,55.3,214.1
Courtland Sutton,WR,DEN,53.0,227.6
Sam LaPorta,TE,DET,65.9,190.7
DeVonta Smith,WR,PHI,51.8,222.7
D'Andre Swift,RB,CHI,55.4,224.7
Zay Flowers,WR,BAL,59.1,232.2
George Pickens,WR,DAL,64.3,219.4
Jaylen Waddle,WR,MIA,71.7,225.6
Rome Odunze,WR,CHI,85.9,216.9
Tony Pollard,RB,TEN,60.9,219.3
T.J. Hockenson,TE,MIN,76.9,183.6
Calvin Ridley,WR,TEN,67.3,230.1
Kaleb Johnson,RB,PIT,74.9,217.3
Jameson Williams,WR,DET,74.2,217.6
Travis Hunter,WR,JAX,72.8,213.0
TreVeyon Henderson,RB,NE,64.7,206.0
Jerry Jeudy,WR,CLE,63.2,227.6
Tetairoa McMillan,WR,CAR,74.5,212.4
Travis Kelce,TE,KC,64.1,171.9
Patrick Mahomes,QB,KC,50.8,322.9
Matthew Golden,WR,GB,105.7,205.3
Isiah Pacheco,RB,KC,79.1,208.8
Chris Olave,WR,NO,86.8,205.7
Jordan Addison,WR,MIN,70.6,215.6
Javonte Williams,RB,DAL,94.1,211.5
Cooper Kupp,WR,SEA,93.1,205.7
Rhamondre Stevenson,RB,NE,115.0,183.9
Jaylen Warren,RB,PIT,74.8,194.9
David Njoku,TE,CLE,75.4,172.8
Jauan Jennings,WR,SF,73.9,209.6
Cam Skattebo,RB,NYG,107.8,155.2
Deebo Samuel Sr.,WR,WAS,80.4,201.6
Khalil Shakir,WR,BUF,80.0,206.6
Bo Nix,QB,DEN,70.6,300.4
Mark Andrews,TE,BAL,88.1,170.9
Tyrone Tracy Jr.,RB,NYG,84.7,197.1
Stefon Diggs,WR,NE,99.0,165.6
Chris Godwin,WR,TB,57.4,190.8
Baker Mayfield,QB,TB,48.2,309.1
Jakobi Meyers,WR,LV,66.2,215.2
Austin Ekeler,RB,WAS,104.3,172.2
Keon Coleman,WR,BUF,110.9,191.2
Brian Robinson Jr.,RB,WAS,77.7,200.6
Ricky Pearsall,WR,SF,108.3,192.8
Evan Engram,TE,DEN,100.0,168.6
Travis Etienne Jr.,RB,JAX,95.4,155.3
Michael Pittman Jr.,WR,IND,100.6,183.1
Zach Charbonnet,RB,SEA,119.8,112.9
Kyler Murray,QB,ARI,84.9,306.3
Jayden Reed,WR,GB,92.5,181.1
Tyjae Spears,RB,TEN,121.7,148.0
Brock Purdy,QB,SF,77.4,306.9
Darnell Mooney,WR,ATL,97.4,170.5
Rachaad White,RB,TB,131.9,129.5
Tank Bigsby,RB,JAX,145.1,130.4
Caleb Williams,QB,CHI,101.0,279.3
Jayden Higgins,WR,HOU,151.1,166.1
Jonnu Smith,TE,PIT,128.1,135.0
Najee Harris,RB,LAC,111.0,118.1
Bhayshul Tuten,RB,JAX,145.8,63.7
Colston Loveland,TE,CHI,151.1,155.3
Jack Bech,WR,LV,142.2,148.6
Rashid Shaheed,WR,NO,108.9,183.7
Emeka Egbuka,WR,TB,132.1,142.8
Jaydon Blue,RB,DAL,138.3,79.4
Jordan Mason,RB,MIN,129.2,118.7
Justin Herbert,QB,LAC,108.1,284.0
Tyler Allgeier,RB,ATL,155.4,97.3
Isaac Guerendo,RB,SF,143.2,87.0
Justin Fields,QB,NYJ,111.6,296.7
Xavier Legette,WR,CAR,158.8,154.6
Adam Thielen,WR,CAR,121.5,166.9
Trey Benson,RB,ARI,158.3,113.4
Ray Davis,RB,BUF,152.4,81.0
Dalton Kincaid,TE,BUF,131.5,147.2
Roschon Johnson,RB,CHI,153.5,103.6
HOU,DEF,HOU,136.8,133.0
DEN,DEF,DEN,110.8,123.0
Tyler Warren,TE,IND,136.5,145.7
Marvin Mims Jr.,WR,DEN,129.4,149.2
