"ADP","Overall","Name","Position","Team","Times Drafted","Std Dev","High","Low","Bye"
1.02,1.6,Ja'Marr Chase,WR,CIN,557,0.8,1,4,10
1.02,2.1,Bijan Robinson,RB,ATL,391,0.9,1,4,5
1.02,2.2,Saquon Barkley,RB,PHI,310,0.9,1,4,9
1.04,4.3,Jahmyr Gibbs,RB,DET,945,1.0,1,7,8
1.05,4.7,Justin Jefferson,WR,MIN,909,1.1,1,9,6
1.06,5.9,CeeDee Lamb,WR,DAL,537,1.4,2,11,10
1.08,7.7,Puka Nacua,WR,LAR,282,1.4,4,12,8
1.08,8.0,De'Von Achane,RB,MIA,274,2.0,4,16,12
1.09,8.7,Malik Nabers,WR,NYG,400,1.7,4,13,14
1.09,8.8,Christian McCaffrey,RB,SF,602,2.1,3,17,14
1.10,9.7,Derrick Henry,RB,BAL,763,2.6,3,16,7
1.11,10.6,Ashton Jeanty,RB,LV,774,3.3,2,18,8
1.12,12.1,Nico Collins,WR,HOU,467,2.3,6,20,6
2.01,13.4,Amon-Ra St. Brown,WR,DET,820,2.5,6,20,8
2.03,15.0,Josh Jacobs,RB,GB,360,2.4,8,22,5
2.03,15.2,Brian Thomas Jr.,WR,JAX,422,3.6,5,21,8
2.05,16.5,Bucky Irving,RB,TB,408,2.6,9,24,9
2.06,17.7,Lamar Jackson,QB,BAL,520,5.2,4,27,7
2.06,18.4,Jonathan Taylor,RB,IND,526,2.8,11,25,11
2.07,19.5,A.J. Brown,WR,PHI,737,2.9,12,30,9
2.08,19.7,Kyren Williams,RB,LAR,436,2.7,12,28,8
2.08,20.1,Drake London,WR,ATL,731,2.9,12,29,5
2.11,23.1,Ladd McConkey,WR,LAC,540,3.2,14,31,12
2.11,23.4,Tee Higgins,WR,CIN,115,2.8,16,30,10
2.12,23.6,Josh Allen,QB,BUF,720,4.5,12,34,7
2.12,23.9,Alvin Kamara,RB,NO,413,3.5,14,35,11
3.02,26.0,Davante Adams,WR,LAR,263,3.1,17,34,8
3.03,26.5,Chase Brown,RB,CIN,1051,4.1,15,36,10
3.03,26.6,Joe Burrow,QB,CIN,299,4.3,15,36,10
3.04,28.5,James Cook,RB,BUF,510,4.1,17,43,7
3.05,28.6,Brock Bowers,TE,LV,1180,4.4,17,41,8
3.05,28.8,Tyreek Hill,WR,MIA,832,5.1,15,40,12
3.07,31.2,Jayden Daniels,QB,WAS,303,4.2,20,44,12
3.08,32.0,Breece Hall,RB,NYJ,415,4.4,20,43,9
3.08,32.2,Trey McBride,TE,ARI,546,4.5,20,43,8
3.11,34.7,Rashee Rice,WR,KC,763,5.2,21,48,10
3.12,36.5,Terry McLaurin,WR,WAS,525,5.5,22,50,12
4.01,36.8,James Conner,RB,ARI,206,3.8,26,46,8
4.02,38.0,Chuba Hubbard,RB,CAR,340,4.6,25,48,14
4.03,38.9,Mike Evans,WR,TB,596,4.7,26,51,9
4.05,40.6,Kenneth Walker III,RB,SEA,616,4.8,28,51,8
4.05,40.7,Jalen Hurts,QB,PHI,591,5.7,26,56,9
4.05,40.8,Joe Mixon,RB,HOU,394,4.0,30,51,6
4.06,41.8,Jaxon Smith-Njigba,WR,SEA,543,4.6,29,55,8
4.08,43.9,Marvin Harrison Jr.,WR,ARI,925,5.6,29,65,8
4.09,44.6,George Kittle,TE,SF,567,4.9,31,57,14
4.10,46.3,DJ Moore,WR,CHI,202,4.5,34,58,5
4.11,46.6,DK Metcalf,WR,PIT,621,5.4,32,62,5
4.11,46.6,Garrett Wilson,WR,NYJ,971,5.5,32,64,9
4.12,48.2,Baker Mayfield,QB,TB,268,6.0,32,62,9
5.02,49.9,Aaron Jones,RB,MIN,491,5.3,36,63,6
5.03,50.8,Patrick Mahomes,QB,KC,342,6.8,33,65,10
5.03,51.4,Omarion Hampton,RB,LAC,1245,5.6,36,65,12
5.04,51.8,DeVonta Smith,WR,PHI,238,4.6,39,65,9
5.04,52.0,Xavier Worthy,WR,KC,188,5.4,37,69,10
5.05,53.0,Courtland Sutton,WR,DEN,454,4.1,42,69,12
5.07,55.3,David Montgomery,RB,DET,519,5.0,42,66,8
5.07,55.4,D'Andre Swift,RB,CHI,566,5.3,41,68,5
5.09,57.4,Chris Godwin,WR,TB,314,5.9,41,76,9
5.11,59.1,Zay Flowers,WR,BAL,511,6.5,42,80,7
6.01,60.9,Tony Pollard,RB,TEN,250,4.9,48,73,10
6.03,63.2,Jerry Jeudy,WR,CLE,273,7.1,48,84,9
6.04,63.8,RJ Harvey,RB,DEN,801,6.3,47,81,12
6.04,64.1,Travis Kelce,TE,KC,382,8.5,42,88,10
6.04,64.3,George Pickens,WR,DAL,543,6.9,46,87,10
6.05,64.7,TreVeyon Henderson,RB,NE,625,7.3,45,79,14
6.06,65.9,Sam LaPorta,TE,DET,474,9.4,41,99,8
6.06,66.2,Jakobi Meyers,WR,LV,240,7.1,47,92,8
6.07,67.1,Quinshon Judkins,RB,CLE,514,6.1,51,84,9
6.07,67.3,Calvin Ridley,WR,TEN,615,7.5,48,88,10
6.11,70.6,Jordan Addison,WR,MIN,231,7.4,53,91,6
6.11,70.6,Bo Nix,QB,DEN,353,9.9,44,95,12
6.12,71.7,Jaylen Waddle,WR,MIA,403,7.7,51,91,12
7.01,72.8,Travis Hunter,WR,JAX,466,8.5,50,93,8
7.02,73.9,Jauan Jennings,WR,SF,401,8.2,52,92,14
7.02,74.2,Jameson Williams,WR,DET,681,8.9,50,94,8
7.02,74.5,Tetairoa McMillan,WR,CAR,739,7.8,54,94,14
7.03,74.8,Jaylen Warren,RB,PIT,175,7.5,55,94,5
7.03,74.9,Kaleb Johnson,RB,PIT,562,6.8,57,92,5
7.03,75.4,David Njoku,TE,CLE,59,8.4,53,89,9
7.05,76.9,T.J. Hockenson,TE,MIN,160,9.5,52,102,6
7.05,77.4,Brock Purdy,QB,SF,101,10.3,51,98,14
7.06,77.7,Brian Robinson Jr.,RB,WAS,554,7.6,57,95,12
7.07,79.1,Isiah Pacheco,RB,KC,801,7.8,58,107,10
7.08,80.0,Khalil Shakir,WR,BUF,394,8.8,57,98,7
7.08,80.4,Deebo Samuel Sr.,WR,WAS,524,7.6,60,96,12
8.01,84.7,Tyrone Tracy Jr.,RB,NYG,357,8.1,63,107,14
8.01,84.9,Kyler Murray,QB,ARI,364,10.1,58,104,8
8.01,84.9,Dak Prescott,QB,DAL,497,10.5,57,109,10
8.01,85.0,David Martin-Robinson,TE,TEN,1,0.0,85,85,10
8.02,85.9,Rome Odunze,WR,CHI,382,7.3,66,102,5
8.02,86.3,Jared Goff,QB,DET,302,10.6,58,111,8
8.03,86.8,Chris Olave,WR,NO,480,6.7,69,101,11
8.04,88.1,Mark Andrews,TE,BAL,244,11.8,57,129,7
8.08,92.5,Jayden Reed,WR,GB,209,6.4,75,109,5
8.09,93.1,Cooper Kupp,WR,SEA,676,7.8,72,118,8
8.10,94.1,Javonte Williams,RB,DAL,511,9.5,69,117,10
8.11,94.7,Dallas,DEF,DAL,64,8.0,73,108,10
8.11,95.4,Travis Etienne Jr.,RB,JAX,559,10.0,69,123,8
8.12,96.0,Cam Akers,RB,MIN,1,0.0,96,96,6
8.12,96.0,Atlanta,DEF,ATL,1,0.0,96,96,5
9.01,97.0,Nate Adkins,TE,DEN,1,0.0,97,97,12
9.01,97.4,Darnell Mooney,WR,ATL,162,6.9,79,118,5
9.03,99.0,Stefon Diggs,WR,NE,570,7.5,79,117,14
9.04,100.0,Evan Engram,TE,DEN,571,16.1,61,150,12
9.05,100.6,Michael Pittman Jr.,WR,IND,224,6.4,83,118,11
9.05,100.8,J.J. McCarthy,QB,MIN,297,9.2,77,126,6
9.05,101.0,Caleb Williams,QB,CHI,378,10.8,72,124,5
9.06,102.0,Josh Downs,WR,IND,194,7.2,84,118,11
9.08,104.3,Austin Ekeler,RB,WAS,111,10.4,77,125,12
9.09,105.1,Philadelphia,DEF,PHI,186,10.7,77,125,9
9.10,105.5,Jordan Love,QB,GB,290,10.4,78,130,5
9.10,105.7,Matthew Golden,WR,GB,237,8.6,83,125,5
9.11,107.2,NY Giants,DEF,NYG,29,5.7,95,116,14
9.12,107.8,Cam Skattebo,RB,NYG,457,11.6,77,143,14
9.12,108.1,Justin Herbert,QB,LAC,313,11.3,78,150,12
9.12,108.3,Ricky Pearsall,WR,SF,426,9.2,84,138,14
10.01,108.9,Rashid Shaheed,WR,NO,114,8.0,88,125,11
10.02,110.5,Terrance Ferguson,TE,LAR,2,6.4,106,115,8
10.03,110.8,Denver,DEF,DEN,286,9.7,85,153,12
10.03,110.9,Keon Coleman,WR,BUF,282,7.3,91,127,7
10.03,111.0,Najee Harris,RB,LAC,689,12.5,78,146,12
10.03,111.0,Trevor Etienne,RB,CAR,1,0.0,111,111,14
10.04,111.6,Justin Fields,QB,NYJ,361,10.5,84,149,9
10.06,114.3,Jake Ferguson,TE,DAL,237,17.9,67,149,10
10.07,115.0,Rhamondre Stevenson,RB,NE,413,13.2,80,148,14
10.10,117.7,Pittsburgh,DEF,PIT,169,10.6,90,152,5
10.12,119.7,C.J. Stroud,QB,HOU,287,12.5,87,150,6
10.12,119.8,Zach Charbonnet,RB,SEA,465,13.6,84,147,8
10.12,120.0,Tahj Brooks,RB,CIN,1,0.0,120,120,10
11.01,121.0,Baltimore,DEF,BAL,224,11.9,90,167,7
11.01,121.0,Mason Taylor,TE,NYJ,1,0.0,121,121,9
11.01,121.0,Michael Carter,RB,ARI,1,0.0,121,121,8
11.01,121.3,Tucker Kraft,TE,GB,273,16.8,82,157,5
11.02,121.5,Adam Thielen,WR,CAR,67,9.7,97,144,14
11.02,121.7,Tyjae Spears,RB,TEN,185,14.1,84,149,10
11.02,122.0,Dallas Goedert,TE,PHI,233,17.5,82,159,9
11.02,122.5,Trevor Lawrence,QB,JAX,79,10.5,100,150,8
11.03,123.0,James Proche II,WR,CLE,1,0.0,123,123,9
11.03,123.0,Christian Watson,WR,GB,1,0.0,123,123,5
11.04,124.0,Kyle Monangai,RB,CHI,2,2.8,122,126,5
11.04,124.4,Drake Maye,QB,NE,202,13.1,90,150,14
11.05,125.0,Elijah Moore,WR,BUF,1,0.0,125,125,7
11.06,126.5,J.K. Dobbins,RB,LAC,403,15.4,86,170,12
11.07,126.7,Wan'Dale Robinson,WR,NYG,32,8.6,107,142,14
11.07,127.0,Elijah Arroyo,TE,SEA,1,0.0,127,127,8
11.07,127.1,Brandon Aiyuk,WR,SF,391,11.3,97,155,14
11.07,127.3,Christian Kirk,WR,HOU,152,8.0,106,149,6
11.08,128.1,Jonnu Smith,TE,PIT,172,31.0,49,177,5
11.08,128.3,Buffalo,DEF,BUF,120,12.1,96,168,7
11.09,128.7,Tua Tagovailoa,QB,MIA,76,11.7,98,146,12
11.09,129.2,Jordan Mason,RB,MIN,506,16.5,86,172,6
11.09,129.4,Marvin Mims Jr.,WR,DEN,118,12.0,98,150,12
11.10,130.1,Rashod Bateman,WR,BAL,120,10.2,103,148,7
11.11,131.5,Dalton Kincaid,TE,BUF,373,18.8,82,174,7
11.12,131.8,Israel Abanikanda,RB,SF,4,36.8,102,179,14
11.12,131.9,Rachaad White,RB,TB,135,14.3,94,162,9
11.12,132.0,Jordan James,RB,SF,1,0.0,132,132,14
11.12,132.1,Emeka Egbuka,WR,TB,318,19.8,80,173,9
12.01,132.7,Pat Freiermuth,TE,PIT,29,21.8,93,176,5
12.02,134.0,Joe Flacco,QB,CLE,1,0.0,134,134,9
12.02,134.3,Brandon Aubrey,PK,DAL,637,18.7,85,187,10
12.04,136.5,Tyler Warren,TE,IND,496,21.2,81,181,11
12.05,136.8,Houston,DEF,HOU,168,15.2,97,186,6
12.05,137.0,Cedric Tillman,WR,CLE,54,7.0,118,149,9
12.05,137.2,Matthew Stafford,QB,LAR,322,14.3,99,176,8
12.06,137.9,Marquise Brown,WR,KC,86,11.0,109,153,10
12.06,138.3,Jaydon Blue,RB,DAL,260,20.1,85,180,10
12.07,138.6,Younghoe Koo,PK,ATL,144,19.7,87,184,5
12.08,139.5,Jaxson Dart,QB,NYG,2,46.0,107,172,14
12.08,140.1,Detroit,DEF,DET,194,14.4,108,180,8
12.09,140.8,Matt Gay,PK,WAS,52,19.5,98,186,12
12.10,142.1,Romeo Doubs,WR,GB,42,9.6,118,159,5
12.10,142.2,Jack Bech,WR,LV,69,13.3,107,167,8
12.11,143.2,Isaac Guerendo,RB,SF,304,22.7,84,187,14
12.11,143.4,Cameron Dicker,PK,LAC,141,14.8,108,190,12
12.12,143.8,Zach Ertz,TE,WAS,115,18.1,96,180,12
12.12,144.0,Will Shipley,RB,PHI,1,0.0,144,144,9
12.12,144.0,Jonathan Kim,PK,CHI,1,0.0,144,144,5
13.01,145.0,Harold Fannin Jr.,TE,CLE,1,0.0,145,145,9
13.01,145.1,Tank Bigsby,RB,JAX,177,20.6,91,178,8
13.02,145.8,Bhayshul Tuten,RB,JAX,53,29.7,85,186,8
13.02,145.9,LA Rams,DEF,LAR,167,15.6,105,185,8
13.02,146.0,Devin Neal,RB,NO,1,0.0,146,146,11
13.03,146.8,Jerome Ford,RB,CLE,17,25.0,107,180,9
13.03,147.0,Brashard Smith,RB,KC,2,18.4,134,160,10
13.03,147.4,Bryce Young,QB,CAR,131,14.4,110,180,14
