"Rank","Player","Team","Bye","POS","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1.0"
"2","Justin Jefferson","MIN","6","WR2","2.0"
"3","Bijan Robinson","ATL","5","RB1","3.0"
"4","Saquon Barkley","PHI","9","RB2","4.5"
"5","CeeDee Lamb","DAL","10","WR3","4.5"
"6","Jahmyr Gibbs","DET","8","RB3","6.0"
"7","Puka Nacua","LAR","8","WR4","7.5"
"8","Malik Nabers","NYG","14","WR5","8.0"
"9","Christian McCaffrey","SF","14","RB4","8.5"
"10","Nico Collins","HOU","6","WR6","10.0"
"11","Amon-Ra St. Brown","DET","8","WR7","11.5"
"12","Ashton Jeanty","LV","8","RB5","11.5"
"13","Brian Thomas Jr.","JAC","8","WR8","13.0"
"14","De'Von Achane","MIA","12","RB6","14.5"
"15","Derrick Henry","BAL","7","RB7","15.0"
"16","Drake London","ATL","5","WR9","15.5"
"17","A.J. Brown","PHI","9","WR10","17.0"
"18","Ladd McConkey","LAC","12","WR11","18.0"
"19","Brock Bowers","LV","8","TE1","19.0"
"20","Jonathan Taylor","IND","11","RB8","20.5"
"21","Rashee Rice","KC","10","WR12","20.5"
"22","Bucky Irving","TB","9","RB9","23.0"
"23","Tyreek Hill","MIA","12","WR13","23.0"
"24","Tee Higgins","CIN","10","WR14","24.5"
"25","Garrett Wilson","NYJ","9","WR15","25.5"
"26","Trey McBride","ARI","8","TE2","26.5"
"27","Chase Brown","CIN","10","RB10","26.5"
"28","Josh Jacobs","GB","5","RB11","27.0"
"29","Davante Adams","LAR","8","WR16","29.0"
"30","Marvin Harrison Jr.","ARI","8","WR17","29.0"
"31","Lamar Jackson","BAL","7","QB1","32.5"
"32","Jaxon Smith-Njigba","SEA","8","WR18","32.5"
"33","Terry McLaurin","WAS","12","WR19","33.0"
"34","Josh Allen","BUF","7","QB2","33.0"
"35","Breece Hall","NYJ","9","RB12","34.0"
"36","Kyren Williams","LAR","8","RB13","36.0"
"37","Mike Evans","TB","9","WR20","37.5"
"38","George Kittle","SF","14","TE3","38.0"
"39","Jayden Daniels","WAS","12","QB3","38.5"
"40","DJ Moore","CHI","5","WR21","40.5"
"41","Tetairoa McMillan","CAR","14","WR22","41.5"
"42","Jalen Hurts","PHI","9","QB4","43.0"
"43","James Cook","BUF","7","RB14","44.0"
"44","DK Metcalf","PIT","5","WR23","44.5"
"45","Omarion Hampton","LAC","12","RB15","45.0"
"46","Xavier Worthy","KC","10","WR24","45.0"
"47","Kenneth Walker III","SEA","8","RB16","47.5"
"48","Jameson Williams","DET","8","WR25","47.5"
"49","DeVonta Smith","PHI","9","WR26","48.5"
"50","Courtland Sutton","DEN","12","WR27","49.5"
"51","George Pickens","DAL","10","WR28","50.5"
"52","Jaylen Waddle","MIA","12","WR29","52.5"
"53","Chuba Hubbard","CAR","14","RB17","53.5"
"54","Alvin Kamara","NO","11","RB18","54.5"
"55","Zay Flowers","BAL","7","WR30","54.5"
"56","Travis Hunter","JAC","8","WR31","56.0"
"57","Calvin Ridley","TEN","10","WR32","56.5"
"58","Joe Burrow","CIN","10","QB5","57.5"
"59","Joe Mixon","HOU","6","RB19","59.5"
"60","Jauan Jennings","SF","14","WR33","60.0"
"61","James Conner","ARI","8","RB20","61.0"
"62","Rome Odunze","CHI","5","WR34","62.5"
"63","Chris Olave","NO","11","WR35","63.0"
"64","RJ Harvey","DEN","12","RB21","63.5"
"65","TreVeyon Henderson","NE","14","RB22","64.0"
"66","Chris Godwin","TB","9","WR36","67.0"
"67","Jerry Jeudy","CLE","9","WR37","68.0"
"68","Jordan Addison","MIN","6","WR38","69.0"
"69","D'Andre Swift","CHI","5","RB23","69.5"
"70","Deebo Samuel Sr.","WAS","12","WR39","69.5"
"71","Jakobi Meyers","LV","8","WR40","70.0"
"72","Kaleb Johnson","PIT","5","RB24","71.5"
"73","David Montgomery","DET","8","RB25","72.5"
"74","Sam LaPorta","DET","8","TE4","74.5"
"75","Ricky Pearsall","SF","14","WR41","74.5"
"76","Quinshon Judkins","CLE","9","RB26","75.5"
"77","Stefon Diggs","NE","14","WR42","78.0"
"78","Tony Pollard","TEN","10","RB27","79.5"
"79","Matthew Golden","GB","5","WR43","80.0"
"80","Isiah Pacheco","KC","10","RB28","80.5"
"81","Khalil Shakir","BUF","7","WR44","80.5"
"82","Josh Downs","IND","11","WR45","81.0"
"83","Jayden Reed","GB","5","WR46","82.0"
"84","Patrick Mahomes II","KC","10","QB6","82.5"
"85","Aaron Jones Sr.","MIN","6","RB29","84.0"
"86","Darnell Mooney","ATL","5","WR47","86.5"
"87","Emeka Egbuka","TB","9","WR48","88.0"
"88","Brian Robinson Jr.","WAS","12","RB30","88.5"
"89","T.J. Hockenson","MIN","6","TE5","90.0"
"90","Jordan Mason","MIN","6","RB31","92.0"
"91","Travis Kelce","KC","10","TE6","93.0"
"92","Michael Pittman Jr.","IND","11","WR49","93.0"
"93","Baker Mayfield","TB","9","QB7","93.0"
"94","Kyler Murray","ARI","8","QB8","94.5"
"95","Justin Fields","NYJ","9","QB9","95.0"
"96","Cooper Kupp","SEA","8","WR50","95.0"
"97","Jaylen Warren","PIT","5","RB32","97.0"
"98","Jayden Higgins","HOU","6","WR51","98.0"
"99","Travis Etienne Jr.","JAC","8","RB33","98.5"
"100","Bo Nix","DEN","12","QB10","98.5"
"101","Brandon Aiyuk","SF","14","WR52","99.5"
"102","Keon Coleman","BUF","7","WR53","102.0"
"103","Brock Purdy","SF","14","QB11","103.0"
"104","Evan Engram","DEN","12","TE7","104.5"
"105","Rashid Shaheed","NO","11","WR54","105.5"
"106","Mark Andrews","BAL","7","TE8","105.5"
"107","Caleb Williams","CHI","5","QB12","107.5"
"108","Tyrone Tracy Jr.","NYG","14","RB34","108.5"
"109","Tre Harris","LAC","12","WR55","110.0"
"110","Zach Charbonnet","SEA","8","RB35","110.5"
"111","Najee Harris","LAC","12","RB36","110.5"
"112","Rashod Bateman","BAL","7","WR56","111.0"
"113","Dak Prescott","DAL","10","QB13","112.0"
"114","Cam Skattebo","NYG","14","RB37","113.0"
"115","J.K. Dobbins","DEN","12","RB38","114.5"
"116","David Njoku","CLE","9","TE9","115.5"
"117","Drake Maye","NE","14","QB14","116.5"
"118","Jared Goff","DET","8","QB15","120.0"
"119","J.J. McCarthy","MIN","6","QB16","120.0"
"120","Tyler Warren","IND","11","TE10","120.0"
"121","Luther Burden III","CHI","5","WR57","121.5"
"122","Christian Kirk","HOU","6","WR58","121.5"
"123","Tyjae Spears","TEN","10","RB39","122.0"
"124","Rhamondre Stevenson","NE","14","RB40","122.0"
"125","Tucker Kraft","GB","5","TE11","124.5"
"126","Justin Herbert","LAC","12","QB17","124.5"
"127","Marvin Mims Jr.","DEN","12","WR59","128.0"
"128","Jordan Love","GB","5","QB18","128.0"
"129","Javonte Williams","DAL","10","RB41","128.5"
"130","C.J. Stroud","HOU","6","QB19","132.5"
"131","Kyle Williams","NE","14","WR60","133.0"
"132","Trevor Lawrence","JAC","8","QB20","133.0"
"133","Ray Davis","BUF","7","RB42","133.5"
"134","Colston Loveland","CHI","5","TE12","134.5"
"135","Bhayshul Tuten","JAC","8","RB43","135.0"
"136","Dallas Goedert","PHI","9","TE13","136.5"
"137","Marquise Brown","KC","10","WR61","136.5"
"138","Jaydon Blue","DAL","10","RB44","138.0"
"139","Dalton Kincaid","BUF","7","TE14","139.0"
"140","Rachaad White","TB","9","RB45","140.0"
"141","Cedric Tillman","CLE","9","WR62","140.5"
"142","Trey Benson","ARI","8","RB46","141.0"
"143","Michael Penix Jr.","ATL","5","QB21","142.0"
"144","Isaiah Likely","BAL","7","TE15","143.0"
"145","Isaac Guerendo","SF","14","RB47","143.0"
"146","Jake Ferguson","DAL","10","TE16","146.5"
"147","Tua Tagovailoa","MIA","12","QB22","147.5"
"148","Quentin Johnston","LAC","12","WR63","148.0"
"149","Bryce Young","CAR","14","QB23","149.5"
"150","Austin Ekeler","WAS","12","RB48","151.0"
"151","Romeo Doubs","GB","5","WR64","151.5"
"152","Tyler Allgeier","ATL","5","RB49","152.5"
"153","Matthew Stafford","LAR","8","QB24","155.0"
"154","Xavier Legette","CAR","14","WR65","156.0"
"155","Cameron Ward","TEN","10","QB25","157.0"
"156","Jonnu Smith","PIT","5","TE17","157.5"
