"Rank","Player","Team","Bye","POS","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1.0"
"2","Bijan Robinson","ATL","5","RB1","2.5"
"3","Justin Jefferson","MIN","6","WR2","3.0"
"4","Saquon Barkley","PHI","9","RB2","4.0"
"5","CeeDee Lamb","DAL","10","WR3","5.0"
"6","Jahmyr Gibbs","DET","8","RB3","5.5"
"7","Malik Nabers","NYG","14","WR4","8.5"
"8","Puka Nacua","LAR","8","WR5","8.5"
"9","Ashton Jeanty","LV","8","RB4","9.5"
"10","Amon-Ra St. Brown","DET","8","WR6","9.5"
"11","Christian McCaffrey","SF","14","RB5","10.5"
"12","Nico Collins","HOU","6","WR7","11.5"
"13","Derrick Henry","BAL","7","RB6","13.5"
"14","Brian Thomas Jr.","JAC","8","WR8","13.5"
"15","De'Von Achane","MIA","12","RB7","14.5"
"16","Drake London","ATL","5","WR9","15.5"
"17","A.J. Brown","PHI","9","WR10","17.5"
"18","Brock Bowers","LV","8","TE1","18.0"
"19","Ladd McConkey","LAC","12","WR11","19.0"
"20","Jonathan Taylor","IND","11","RB8","20.0"
"21","Bucky Irving","TB","9","RB9","22.5"
"22","Tee Higgins","CIN","10","WR12","25.0"
"23","Garrett Wilson","NYJ","9","WR13","25.5"
"24","Josh Jacobs","GB","5","RB10","26.0"
"25","Trey McBride","ARI","8","TE2","26.0"
"26","Jaxon Smith-Njigba","SEA","8","WR14","27.0"
"27","Tyreek Hill","MIA","12","WR15","28.5"
"28","Chase Brown","CIN","10","RB11","28.5"
"29","Lamar Jackson","BAL","7","QB1","29.0"
"30","Rashee Rice","KC","10","WR16","29.5"
"31","Josh Allen","BUF","7","QB2","30.0"
"32","Davante Adams","LAR","8","WR17","32.0"
"33","Kyren Williams","LAR","8","RB12","32.0"
"34","Marvin Harrison Jr.","ARI","8","WR18","32.0"
"35","Terry McLaurin","WAS","12","WR19","33.5"
"36","Breece Hall","NYJ","9","RB13","33.5"
"37","Jayden Daniels","WAS","12","QB3","35.0"
"38","Mike Evans","TB","9","WR20","36.5"
"39","DJ Moore","CHI","5","WR21","41.0"
"40","Jalen Hurts","PHI","9","QB4","41.0"
"41","George Kittle","SF","14","TE3","41.5"
"42","James Cook","BUF","7","RB14","43.0"
"43","Kenneth Walker III","SEA","8","RB15","44.5"
"44","DK Metcalf","PIT","5","WR22","45.5"
"45","Xavier Worthy","KC","10","WR23","46.0"
"46","Joe Burrow","CIN","10","QB5","46.5"
"47","Alvin Kamara","NO","11","RB16","47.5"
"48","Omarion Hampton","LAC","12","RB17","47.5"
"49","Tetairoa McMillan","CAR","14","WR24","48.0"
"50","Courtland Sutton","DEN","12","WR25","49.0"
"51","DeVonta Smith","PHI","9","WR26","49.0"
"52","Jameson Williams","DET","8","WR27","50.5"
"53","Zay Flowers","BAL","7","WR28","53.0"
"54","Chuba Hubbard","CAR","14","RB18","53.5"
"55","Joe Mixon","HOU","6","RB19","55.5"
"56","Jaylen Waddle","MIA","12","WR29","58.5"
"57","James Conner","ARI","8","RB20","58.5"
"58","George Pickens","DAL","10","WR30","59.5"
"59","TreVeyon Henderson","NE","14","RB21","60.5"
"60","Chris Godwin","TB","9","WR31","63.0"
"61","Jauan Jennings","SF","14","WR32","64.0"
"62","Jerry Jeudy","CLE","9","WR33","64.5"
"63","RJ Harvey","DEN","12","RB22","65.5"
"64","Calvin Ridley","TEN","10","WR34","66.0"
"65","Chris Olave","NO","11","WR35","67.0"
"66","Travis Hunter","JAC","8","WR36","67.5"
"67","David Montgomery","DET","8","RB23","67.5"
"68","Jordan Addison","MIN","6","WR37","68.5"
"69","Sam LaPorta","DET","8","TE4","69.0"
"70","Patrick Mahomes II","KC","10","QB6","70.0"
"71","Rome Odunze","CHI","5","WR38","70.0"
"72","D'Andre Swift","CHI","5","RB24","71.5"
"73","Quinshon Judkins","CLE","9","RB25","72.0"
"74","Kaleb Johnson","PIT","5","RB26","73.0"
"75","Baker Mayfield","TB","9","QB7","75.0"
"76","Deebo Samuel Sr.","WAS","12","WR39","75.0"
"77","Jakobi Meyers","LV","8","WR40","76.0"
"78","Aaron Jones Sr.","MIN","6","RB27","76.0"
"79","Tony Pollard","TEN","10","RB28","76.5"
"80","Ricky Pearsall","SF","14","WR41","82.0"
"81","Khalil Shakir","BUF","7","WR42","82.0"
"82","Isiah Pacheco","KC","10","RB29","83.0"
"83","Bo Nix","DEN","12","QB8","84.0"
"84","Josh Downs","IND","11","WR43","86.0"
"85","T.J. Hockenson","MIN","6","TE5","86.0"
"86","Brian Robinson Jr.","WAS","12","RB30","87.0"
"87","Travis Kelce","KC","10","TE6","87.5"
"88","Stefon Diggs","NE","14","WR44","88.0"
