player,round,round_index,pick_number,position,proj_points,cumulative_points
1,1,0,1,WR,342.3666666666666,342.3666666666666
1,2,1,24,QB,367.1000000000001,709.4666666666667
1,3,2,25,TE,259.5,968.9666666666667
1,4,3,48,RB,234.96666666666667,1203.9333333333334
1,5,4,49,RB,234.96666666666667,1438.9
1,6,5,72,WR,221.53333333333333,1660.4333333333334
1,7,6,73,WR,221.53333333333333,1881.9666666666667
1,8,7,96,DEF,133.0,2014.9666666666667
1,9,8,97,PK,146.0,2160.9666666666667
2,1,0,2,RB,330.40000000000003,330.40000000000003
2,2,1,23,QB,367.1000000000001,697.5000000000001
2,3,2,26,TE,259.5,957.0000000000001
2,4,3,47,WR,236.36666666666665,1193.3666666666668
2,5,4,50,RB,234.70000000000002,1428.0666666666668
2,6,5,71,WR,224.20000000000002,1652.2666666666669
2,7,6,74,WR,220.03333333333333,1872.3000000000002
2,8,7,95,DEF,133.0,2005.3000000000002
2,9,8,98,PK,146.0,2151.3
3,1,0,3,WR,321.3333333333333,321.3333333333333
3,2,1,22,TE,259.5,580.8333333333333
3,3,2,27,QB,365.9333333333334,946.7666666666667
3,4,3,46,RB,243.0666666666667,1189.8333333333333
3,5,4,51,RB,234.70000000000002,1424.5333333333333
3,6,5,70,WR,224.20000000000002,1648.7333333333333
3,7,6,75,WR,219.79999999999998,1868.5333333333333
3,8,7,94,DEF,133.0,2001.5333333333333
3,9,8,99,PK,146.0,2147.5333333333333
4,1,0,4,RB,318.90000000000003,318.90000000000003
4,2,1,21,TE,259.5,578.4000000000001
4,3,2,28,QB,365.9333333333334,944.3333333333335
4,4,3,45,RB,248.20000000000002,1192.5333333333335
4,5,4,52,WR,235.1,1427.6333333333334
4,6,5,69,WR,224.20000000000002,1651.8333333333335
4,7,6,76,WR,219.79999999999998,1871.6333333333334
4,8,7,93,DEF,133.0,2004.6333333333334
4,9,8,100,PK,146.0,2150.633333333333
5,1,0,5,WR,321.03333333333336,321.03333333333336
5,2,1,20,TE,259.5,580.5333333333333
5,3,2,29,QB,365.9333333333334,946.4666666666667
5,4,3,44,RB,248.20000000000002,1194.6666666666667
5,5,4,53,RB,229.56666666666663,1424.2333333333333
5,6,5,68,WR,224.4333333333333,1648.6666666666667
5,7,6,77,WR,219.79999999999998,1868.4666666666667
5,8,7,92,DEF,133.0,2001.4666666666667
5,9,8,101,PK,146.0,2147.4666666666667
6,1,0,6,WR,321.03333333333336,321.03333333333336
6,2,1,19,TE,259.5,580.5333333333333
6,3,2,30,QB,365.9333333333334,946.4666666666667
6,4,3,43,RB,248.20000000000002,1194.6666666666667
6,5,4,54,RB,229.56666666666663,1424.2333333333333
6,6,5,67,WR,225.9333333333333,1650.1666666666667
6,7,6,78,WR,217.13333333333333,1867.3000000000002
6,8,7,91,DEF,133.0,2000.3000000000002
6,9,8,102,PK,146.0,2146.3
7,1,0,7,WR,321.03333333333336,321.03333333333336
7,2,1,18,TE,259.5,580.5333333333333
7,3,2,31,QB,365.9333333333334,946.4666666666667
7,4,3,42,RB,248.20000000000002,1194.6666666666667
7,5,4,55,RB,229.56666666666663,1424.2333333333333
7,6,5,66,WR,225.9333333333333,1650.1666666666667
7,7,6,79,WR,217.13333333333333,1867.3000000000002
7,8,7,90,DEF,133.0,2000.3000000000002
7,9,8,103,PK,146.0,2146.3
8,1,0,8,RB,317.6666666666667,317.6666666666667
8,2,1,17,RB,287.1333333333334,604.8000000000001
8,3,2,32,TE,248.53333333333333,853.3333333333334
8,4,3,41,RB,248.20000000000002,1101.5333333333333
